ID,Hospital Name,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,Score,District,Risk
228,"Doyle, Hernandez and Leonard Hospital Group",4,4,2,4,8,2,4,4,4,10,10,10,10,8,10,4,10,2,655,5,Medium
229,Daniels-Mcclure Medical Group,10,6,8,4,4,4,4,8,4,6,4,10,2,10,8,6,8,4,655,3,Medium
230,Melendez-Howe General Hospital,6,2,6,4,8,8,2,4,6,10,2,6,6,2,10,8,8,10,650,3,High
231,Adams PLC Medical Group,6,6,8,10,8,10,2,6,10,2,2,2,10,8,4,4,4,6,650,3,High
232,Roman Medical Group,6,8,8,8,10,10,2,4,4,8,2,6,2,2,4,10,6,8,650,1,High
233,Sawyer-Hull Hospital Group,10,2,4,10,4,6,8,10,10,4,6,6,4,6,4,6,2,6,650,2,High
234,Martin PLC General Hospital,10,8,8,8,4,4,2,8,6,4,10,6,10,2,6,8,2,2,650,4,High
235,"Cisneros, Williams and Bryan Hospital Group",6,2,8,8,10,4,10,4,10,6,2,4,6,2,2,10,6,8,650,3,High
236,Edwards-Jones General Hospital,4,10,6,4,10,10,4,6,2,10,2,10,2,2,10,6,6,4,650,4,High
237,Brown-Murphy Medical Center,4,6,4,10,2,8,6,6,10,8,4,6,2,6,2,8,10,6,650,1,High
238,Johnston-Lopez General Hospital,6,6,8,6,10,8,6,2,10,10,2,2,8,2,6,4,8,4,650,2,High
239,"Snyder, Todd and Lee Medical Center",8,2,2,8,6,2,6,6,10,8,2,6,2,8,10,10,8,4,650,2,High
240,Hogan-Hernandez Hospital Group,4,6,10,2,2,10,8,8,10,8,2,4,8,6,2,8,8,2,650,3,High
241,Jensen Medical Center,6,6,10,4,8,2,10,8,6,4,8,2,6,10,6,4,4,4,650,4,High
242,Mcintosh PLC Medical Group,4,2,6,6,6,10,10,2,10,6,4,4,4,4,4,10,8,8,650,2,High
243,"Porter, Miller and Faulkner Medical Group",2,6,10,4,4,2,8,10,6,8,2,6,6,4,10,6,8,6,650,2,High
244,Miller-Martin Medical Group,6,4,10,4,8,4,8,4,10,2,6,10,2,4,10,4,8,4,650,5,High
245,Harrison and Sons Hospital Group,4,10,2,8,2,2,8,6,4,6,8,4,8,8,4,10,6,8,645,3,Medium
246,Johnson-Key Medical Group,10,2,4,6,4,6,6,10,4,10,6,10,8,6,2,6,2,6,645,3,Medium
247,Castillo-Evans Medical Group,2,4,6,10,2,4,8,8,6,4,8,8,4,10,2,10,2,10,645,4,Medium
248,Hancock-Berry General Hospital,6,10,6,10,2,4,6,6,2,10,4,4,6,10,8,6,6,2,645,4,Medium
249,"Jensen, Robertson and Wells General Hospital",2,10,10,2,2,4,10,8,6,4,4,8,6,10,2,2,10,8,645,3,Medium
250,Guzman Medical Group,4,4,2,6,2,10,10,4,2,10,10,6,4,10,6,6,4,8,645,4,Medium
251,Shaw Inc Hospital Group,6,10,4,6,6,4,2,6,10,4,8,8,4,6,10,4,4,6,645,4,Medium
252,Rogers and Sons Hospital Group,2,8,10,2,2,10,8,6,4,8,2,8,6,8,4,2,8,10,645,1,Medium
253,Robinson-Walton Medical Center,6,2,10,4,6,6,4,8,2,6,2,6,10,10,8,10,4,4,645,1,Medium
254,Thomas and Sons Hospital Group,8,8,10,2,2,4,6,8,6,8,4,2,2,6,8,4,10,10,645,1,Medium
255,"Kramer, Bauer and Sharp Medical Center",2,10,6,10,6,10,4,4,2,6,4,10,4,4,6,8,4,8,645,4,Medium
256,Moyer-Smith Medical Center,2,10,4,10,8,10,4,6,4,2,6,10,2,8,8,2,4,8,645,5,Medium
257,Berry Inc Medical Group,6,4,6,2,6,8,6,6,6,6,2,6,4,10,8,6,8,8,645,1,Medium
258,Gillespie Medical Group,2,2,8,4,6,8,8,6,2,8,2,10,8,8,6,6,8,6,645,3,Medium
259,Hughes-Walton Medical Group,6,6,10,4,8,8,6,4,2,4,10,8,2,2,6,10,2,8,640,1,High
260,"Beard, Browning and Allen Hospital Group",10,4,6,6,6,2,4,10,10,8,8,10,10,2,2,4,2,2,640,4,High
261,Parks Hospital Group,2,6,6,2,6,4,6,10,8,10,2,10,10,2,8,2,10,2,640,4,High
262,"Johnson, King and Fisher Medical Center",2,8,4,4,8,10,6,4,6,6,6,10,6,2,6,6,10,2,640,5,High
263,Griffin-Cortez Medical Group,8,4,10,2,8,8,8,2,6,8,6,6,2,4,6,8,8,2,640,2,High
264,Schwartz General Hospital,4,2,2,10,10,10,8,2,6,2,8,8,2,6,8,8,2,8,640,5,High
265,Walker and Sons General Hospital,10,2,4,10,2,10,8,4,6,2,6,8,8,2,10,8,4,2,640,1,High
266,"Kirby, Griffin and Tran General Hospital",2,2,4,10,2,10,2,4,8,8,6,4,10,4,8,6,8,8,640,3,High
267,Ellis Hospital Group,4,2,8,8,4,10,4,4,6,10,8,4,4,10,4,10,4,2,640,3,High
268,Harris-Lawson Medical Group,8,4,4,4,8,2,2,10,10,8,2,6,6,2,6,10,8,6,640,4,High
269,Adams Hospital Group,2,2,6,10,4,10,4,2,8,6,10,8,2,6,8,8,2,8,640,1,High
270,Smith-Salas Hospital Group,10,6,8,4,8,4,6,4,6,2,6,4,10,4,8,4,8,4,640,4,High
271,Smith PLC Medical Group,4,4,6,8,4,8,8,10,4,8,6,8,2,4,6,8,6,2,640,5,High
272,"Jones, Richardson and Stewart Medical Center",6,10,10,8,6,4,4,4,2,10,6,10,2,8,2,10,2,2,640,1,High
273,Sanchez Inc Hospital Group,8,4,10,8,10,6,4,2,2,10,4,4,2,8,4,10,8,2,640,3,High
274,Jones and Sons Medical Group,2,6,10,10,2,2,4,10,6,6,10,10,10,2,10,2,2,2,640,4,High
275,"Lopez, Nelson and Taylor General Hospital",2,6,6,2,10,4,2,2,10,4,10,8,10,4,8,6,6,6,640,4,High
276,Johnson-Brown Medical Center,2,2,8,6,10,6,10,2,6,10,2,10,2,8,6,6,8,2,640,1,High
277,Watkins-Haynes General Hospital,10,4,6,10,6,6,2,8,6,6,4,6,4,4,2,8,10,4,640,3,High
278,"Smith, Little and Bennett Medical Group",10,4,6,2,4,4,10,2,4,10,8,6,4,10,4,6,8,4,635,2,Medium
279,Jones Inc General Hospital,10,4,6,2,2,10,2,4,8,8,8,6,6,6,2,4,8,10,635,3,Medium
280,Haynes-Hill Medical Group,8,2,6,8,2,2,4,10,4,2,8,6,8,10,4,8,4,10,635,3,Medium
281,Graham-Cortez Hospital Group,6,8,2,10,6,4,4,10,8,2,4,4,8,10,6,2,2,10,635,3,Medium
282,Brewer PLC Medical Center,2,2,8,6,8,8,2,10,6,8,10,6,2,10,6,2,4,6,635,3,Medium
283,"Rodriguez, Tapia and Boyd Medical Group",2,2,2,4,8,8,6,8,4,6,6,10,8,10,8,2,4,8,635,3,Medium
284,"York, Christensen and Garcia Medical Center",6,10,8,8,10,6,2,4,2,4,4,4,2,8,6,2,10,10,635,4,Medium
285,"King, Boyd and Crawford Medical Center",6,4,10,10,8,4,4,4,4,2,4,6,4,6,10,2,8,10,635,5,Medium
286,Becker and Sons Medical Group,4,6,8,6,6,2,2,2,4,6,4,10,6,10,6,8,10,6,635,4,Medium
287,Kim PLC Medical Center,2,4,10,6,2,6,6,4,10,4,2,4,4,10,8,4,10,10,635,4,Medium
288,Jones-Mack Medical Center,4,4,2,8,4,10,4,6,4,4,10,2,4,10,8,4,8,10,635,4,Medium
289,Cardenas Hospital Group,2,2,8,6,10,2,4,10,4,8,4,10,2,8,10,4,4,8,635,3,Medium
290,Miller-Mejia General Hospital,4,4,6,6,2,6,4,8,6,6,10,6,6,10,2,8,8,4,635,1,Medium
291,"Sampson, Barber and Cross Medical Center",8,8,6,4,6,4,2,2,8,8,4,8,6,10,8,4,4,6,635,4,Medium
292,Williams-Brown General Hospital,10,10,2,4,2,2,4,8,4,10,8,4,2,6,8,6,6,10,635,5,Medium
293,"Davis, Lowe and Brown Medical Group",2,8,4,8,8,4,8,6,6,6,2,4,10,10,4,2,4,10,635,4,Medium
294,Thomas-Shaw Medical Center,8,2,4,10,6,10,6,10,6,4,2,4,8,6,4,4,4,8,635,4,Medium
295,Avila Medical Center,4,4,8,8,8,6,10,2,6,8,4,2,10,2,2,4,6,10,630,1,High
296,"Kline, Webb and Jones General Hospital",10,2,10,8,6,2,10,8,6,4,4,4,6,8,2,10,2,2,630,1,High
297,Morris Medical Center,6,10,4,4,6,4,10,4,10,6,10,2,6,8,2,4,4,4,630,5,High
298,"Huber, Bailey and Carter General Hospital",2,4,8,8,4,2,4,6,10,10,6,4,6,8,8,2,6,6,630,5,High
299,Smith-Levy Hospital Group,2,6,10,8,2,8,2,4,10,8,4,4,10,6,6,2,10,2,630,3,High
300,"Thompson, Reid and King Medical Center",6,8,6,8,2,6,8,6,10,6,6,2,6,6,4,4,8,2,630,3,High
301,Downs-Rodriguez Medical Center,10,2,6,4,8,8,6,6,2,2,8,8,6,6,10,6,4,2,630,3,High
302,Hughes-Johnson Hospital Group,6,4,6,2,2,6,10,8,8,10,8,6,2,2,8,10,2,4,630,4,High
303,"Dorsey, Nguyen and Thompson Medical Center",6,6,8,10,2,4,8,2,10,2,2,10,2,2,8,6,8,8,630,3,High
304,"Knight, Johnson and Murphy Hospital Group",10,6,8,6,6,4,2,6,6,2,4,4,8,4,4,10,10,4,630,1,High
305,Vasquez and Sons Medical Center,10,2,8,8,4,10,2,10,10,2,2,8,10,4,4,2,4,4,630,1,High
306,"Bennett, Fuller and Moore Medical Center",4,6,4,4,10,4,8,6,4,2,2,2,8,2,10,10,10,8,630,1,High
307,Sullivan-Gilbert General Hospital,6,10,10,4,8,6,4,10,4,4,10,2,4,2,2,4,6,8,630,4,High
308,Roberts-Jennings Medical Center,4,4,6,8,10,6,10,4,8,2,4,2,6,4,8,8,6,4,630,2,High
309,"Gomez, Thomas and Beard General Hospital",10,4,2,4,6,8,8,8,8,6,2,2,4,8,6,10,2,6,630,4,High
310,Robinson Medical Group,2,2,10,4,10,2,10,6,8,6,4,4,10,8,4,6,2,6,630,4,High
311,Dunn-Santiago Hospital Group,2,2,4,8,8,10,10,2,10,6,6,2,6,4,4,10,6,4,630,2,High
312,Harvey General Hospital,10,6,4,4,4,10,2,10,10,8,4,6,2,6,4,4,8,2,630,3,High
313,Harris-Meyer Hospital Group,4,8,8,8,8,2,6,10,4,6,10,4,4,4,2,4,10,2,630,2,High
314,"Fernandez, Sloan and Wright General Hospital",10,4,2,10,10,6,10,6,6,2,8,2,8,4,6,4,2,4,630,4,High
315,Cook-Hayes General Hospital,6,8,8,4,4,2,2,4,4,10,2,6,10,4,4,6,10,10,625,3,Medium
316,"Graham, Cooper and Burns General Hospital",6,10,8,2,10,2,6,2,8,10,2,2,4,6,4,6,6,10,625,5,Medium
317,Shah Medical Group,4,6,6,10,2,6,2,8,6,6,4,2,4,10,4,4,10,10,625,1,Medium
318,Graham-Yates Medical Group,6,4,6,8,6,4,2,4,8,8,2,8,8,8,8,2,4,8,625,2,Medium
319,Santos-Ortega General Hospital,4,8,8,4,8,2,10,6,6,4,6,6,2,8,6,2,8,6,625,1,Medium
320,Alexander Inc Medical Center,6,10,6,8,4,2,4,8,2,4,4,4,2,8,8,10,8,6,625,1,Medium
321,"Woods, Davis and Campbell Medical Center",2,8,2,2,10,10,8,6,4,4,10,2,10,2,4,2,8,10,625,3,Medium
322,Curry-Kent Medical Center,4,2,2,6,8,4,8,4,8,8,8,2,10,6,2,4,8,10,625,2,Medium
323,Molina-Fritz Hospital Group,2,4,8,2,4,6,2,4,4,2,8,10,10,10,4,4,10,10,625,5,Medium
324,Greene-Christensen Medical Group,8,8,6,4,8,2,4,10,2,8,8,8,2,6,6,2,6,6,625,3,Medium
325,"Chapman, Diaz and Reynolds General Hospital",6,10,4,2,10,6,2,6,4,8,2,10,6,4,2,4,10,8,625,4,Medium
326,Jones PLC Hospital Group,10,8,4,2,6,6,8,8,2,2,6,2,10,2,10,4,10,4,625,4,Medium
327,Reed Hospital Group,8,6,2,2,4,10,6,10,2,8,6,4,10,8,2,6,2,8,625,2,Medium
328,Banks-Taylor Medical Group,2,10,8,4,8,4,2,8,6,8,10,2,6,8,2,6,6,2,620,4,High
329,"Chavez, Ellis and Herrera Hospital Group",8,8,6,10,4,2,6,8,2,4,10,8,4,2,8,4,2,6,620,1,High
330,"Barnes, Mcintyre and Herrera Hospital Group",4,2,10,6,4,10,8,6,2,10,4,6,10,2,4,4,6,4,620,4,High
331,Mcconnell-Barnett General Hospital,6,6,6,6,10,8,8,2,8,10,6,2,2,4,4,6,6,2,620,1,High
332,Cooper General Hospital,6,2,6,6,2,2,10,6,4,6,4,10,2,8,10,6,8,4,620,2,High
333,Hendrix-Moore General Hospital,4,4,8,6,6,4,10,2,8,8,8,6,6,8,6,4,2,2,620,5,High
334,"Stanley, Hill and Shelton Medical Group",6,2,8,4,10,8,2,6,2,6,6,4,4,2,10,10,10,2,620,5,High
335,Reed and Sons Hospital Group,4,10,2,10,4,10,10,2,10,4,8,2,2,2,10,8,2,2,620,1,High
336,"Carr, French and Adams General Hospital",4,10,2,4,4,10,10,10,4,8,8,4,2,2,8,4,2,6,620,4,High
337,Hamilton-Simon Hospital Group,2,2,10,6,6,6,8,4,4,10,8,8,10,4,6,2,4,2,620,1,High
338,Wilson-James Medical Center,10,4,8,10,2,4,6,6,8,2,4,2,2,10,10,2,10,2,620,4,High
339,Freeman Medical Group,8,2,10,8,8,4,8,4,10,4,4,4,2,8,6,4,6,2,620,3,High
340,"Jones, Brown and Garcia Hospital Group",4,6,8,10,2,2,6,8,4,4,2,4,4,10,8,8,4,8,615,3,Medium
341,Brown-Mueller Medical Group,6,2,4,4,8,4,2,4,10,6,8,2,8,10,10,2,4,8,615,2,Medium
342,Herrera Inc Medical Group,6,6,4,2,2,6,8,6,2,6,6,8,10,8,4,8,4,6,615,1,Medium
343,King PLC Hospital Group,10,8,6,2,2,4,2,6,6,8,10,2,4,10,6,6,6,4,615,5,Medium
344,Mckenzie-Whitaker Hospital Group,8,2,2,8,4,10,4,6,4,2,2,10,6,4,10,6,6,8,615,4,Medium
345,Dodson-Hopkins Medical Center,8,8,6,2,8,2,6,8,8,2,6,2,2,8,4,6,6,10,615,5,Medium
346,Hale-Potter Medical Group,6,6,4,2,10,6,2,2,10,10,4,6,6,8,8,2,2,8,615,1,Medium
347,Sanchez-Reyes Medical Group,8,6,6,8,2,4,4,4,4,4,8,8,6,4,6,4,6,10,615,2,Medium
348,Hernandez Medical Center,6,8,8,6,8,2,2,2,2,8,2,10,8,6,4,6,4,10,615,1,Medium
349,Howell and Sons General Hospital,8,4,6,4,4,6,2,8,2,2,8,8,2,10,4,6,10,8,615,3,Medium
350,"Richardson, Wallace and Nguyen General Hospital",10,6,6,10,2,2,2,4,10,4,2,8,4,10,6,6,4,6,615,3,Medium
351,White and Sons General Hospital,10,4,8,6,6,10,2,2,10,6,10,8,4,6,2,2,2,2,610,3,High
352,Gibson-Deleon Medical Group,2,10,6,8,2,10,2,6,6,10,10,2,4,4,4,2,10,2,610,2,High
353,Bryant-Stanton Hospital Group,8,2,10,4,4,8,8,6,10,8,4,2,4,2,2,6,6,6,610,2,High
354,Harrison-Rodriguez General Hospital,10,6,10,2,6,8,4,2,4,2,6,8,10,2,4,10,2,4,610,4,High
355,Bennett Inc Medical Center,4,6,6,10,6,2,2,4,10,10,6,8,8,2,4,2,2,8,610,1,High
356,Green-Ramos Medical Group,6,10,10,4,6,4,6,2,8,6,2,6,4,2,10,2,10,2,610,2,High
357,"Zimmerman, Nelson and Rose Medical Center",6,6,8,6,4,6,4,10,2,4,2,2,10,2,10,6,10,2,610,3,High
358,"Le, Williams and Smith Medical Center",8,4,2,8,4,8,2,10,6,2,4,8,2,8,6,8,8,2,610,3,High
359,Richardson PLC General Hospital,4,10,6,4,10,4,2,10,8,4,8,4,2,2,4,4,6,8,610,5,High
360,Davis and Sons Medical Center,4,2,8,10,6,2,6,6,8,2,4,6,4,8,8,4,10,2,610,1,High
361,Jackson and Sons Medical Group,8,2,6,10,6,4,10,8,4,2,10,2,4,2,6,4,6,6,610,2,High
362,Allen Medical Group,4,2,10,4,10,4,10,2,10,6,4,8,4,4,6,2,4,6,610,4,High
363,"Owens, Taylor and Gillespie General Hospital",6,6,6,10,4,4,2,10,8,2,2,8,8,2,8,8,4,2,610,4,High
364,"Myers, Adams and Shaw Medical Center",10,10,8,6,4,4,10,2,6,2,10,2,2,6,8,4,2,4,610,5,High
365,"Stephens, Moran and Schultz Hospital Group",4,8,4,8,10,2,6,6,6,2,2,6,2,2,10,10,2,10,610,2,High
366,Smith-Wallace Medical Group,6,8,4,2,4,10,6,8,4,6,6,10,4,4,4,6,2,6,605,2,Medium
367,Guzman General Hospital,6,8,6,8,10,2,2,2,2,6,10,8,2,2,4,2,10,10,605,5,Medium
368,"Ingram, Tran and Mclean Hospital Group",10,10,2,4,10,2,2,2,4,4,6,8,6,6,10,4,8,2,605,3,Medium
369,"Preston, Sheppard and Weaver Medical Center",6,6,6,6,8,4,6,6,4,2,6,2,8,10,4,8,6,2,605,5,Medium
370,Calderon-Garcia Hospital Group,6,6,10,8,4,4,6,4,2,6,6,4,6,10,2,4,6,6,605,2,Medium
371,Hanson and Sons Medical Group,4,10,6,4,6,2,4,4,8,6,4,4,10,10,2,4,4,8,605,1,Medium
372,"Bright, Herrera and Contreras Medical Group",4,8,2,2,8,10,2,4,4,10,8,2,8,4,2,10,6,6,605,5,Medium
373,Miles Inc Medical Center,10,4,2,10,6,6,4,8,6,4,2,6,8,10,4,2,6,2,605,2,Medium
374,"Jackson, Petersen and Edwards Medical Center",6,10,8,8,4,10,4,2,6,6,4,2,6,4,6,2,4,8,605,1,Medium
375,Ramos Hospital Group,6,2,4,4,10,10,2,2,8,2,6,8,4,10,4,8,4,6,605,1,Medium
376,Obrien Medical Center,2,8,2,6,10,2,6,4,2,2,2,10,10,6,10,10,6,2,605,5,Medium
377,"Haley, Pierce and Ramirez Medical Center",10,6,4,6,6,6,2,6,6,6,2,2,2,8,10,4,8,6,605,1,Medium
378,Webb Inc Hospital Group,6,4,4,6,6,2,4,10,4,6,4,6,4,10,2,2,10,10,605,1,Medium
379,Mills-Diaz General Hospital,2,2,6,8,4,10,6,4,2,2,10,10,8,6,4,2,10,4,605,3,Medium
380,Miller-Grimes Medical Center,2,6,2,4,2,6,6,8,2,10,10,4,8,10,2,6,4,8,605,5,Medium
381,Burton-Garcia Hospital Group,10,2,8,2,8,2,4,2,10,4,6,2,6,8,8,8,2,6,600,2,High
382,Cochran Hospital Group,2,6,6,6,10,10,2,4,8,10,2,10,6,2,6,4,2,2,600,1,High
383,Mcclure-Glass Medical Group,8,4,2,6,8,2,8,8,8,4,2,6,6,4,10,6,2,4,600,5,High
384,Cobb-Burton Hospital Group,2,4,8,8,4,6,6,4,8,6,8,2,4,4,10,6,4,4,600,1,High
385,George-Callahan Hospital Group,4,4,6,6,10,2,2,6,10,8,4,4,10,6,2,6,4,4,600,2,High
386,Foster-Benson Hospital Group,8,2,2,8,8,4,4,8,10,2,8,4,4,8,2,6,8,2,600,2,High
387,Miller and Sons Medical Group,4,8,6,4,2,6,4,8,8,8,8,2,8,2,4,4,4,8,600,3,High
388,"Price, Turner and Cline Medical Center",4,2,10,6,2,6,10,2,4,6,2,6,8,2,6,8,6,8,600,4,High
389,Thomas General Hospital,10,2,2,8,2,10,6,10,8,8,4,4,8,2,2,4,6,2,600,4,High
390,"Stafford, Gentry and Leonard General Hospital",8,2,6,10,2,2,6,6,4,10,2,2,10,4,10,6,6,2,600,4,High
391,Robinson Hospital Group,2,6,4,8,6,10,2,6,10,8,2,4,2,8,4,2,10,4,600,5,High
392,Whitaker-Davis Medical Center,10,2,8,2,10,6,4,6,4,2,6,2,6,6,8,4,6,6,600,3,High
393,Brown Medical Center,2,6,10,4,4,4,10,6,2,4,6,6,2,4,10,4,6,8,600,5,High
394,Sanchez and Sons Hospital Group,6,4,2,4,8,8,2,4,4,10,6,10,2,6,6,6,2,8,595,3,Medium
395,Hood Medical Group,8,2,2,6,6,10,6,6,6,6,2,10,4,6,2,2,4,10,595,4,Medium
396,Shaw-Morrison Medical Center,6,10,2,6,10,4,6,6,2,2,4,2,2,10,6,10,4,6,595,3,Medium
397,Reynolds-Walker Medical Center,8,4,6,2,6,6,4,6,4,6,8,2,10,4,6,4,2,10,595,2,Medium
398,"Kline, Ortiz and Spencer General Hospital",4,10,2,6,2,4,10,6,6,8,10,2,10,4,2,4,4,4,595,1,Medium
399,Pearson-Richards Medical Center,2,10,10,10,2,10,2,4,2,6,4,6,6,6,2,2,4,10,595,3,Medium
400,"Wells, Goodwin and Wade Hospital Group",2,4,8,2,6,6,6,4,4,2,2,10,8,8,8,4,4,10,595,3,Medium
401,Rios-Hernandez Medical Group,6,6,8,10,6,8,2,2,4,10,6,2,4,6,4,2,2,10,595,2,Medium
402,Summers Hospital Group,4,10,2,8,2,8,2,4,6,6,2,10,10,10,4,2,6,2,595,1,Medium
403,Garrett-Moore Medical Group,4,2,4,6,8,2,2,4,4,8,10,6,2,8,8,4,10,6,595,2,Medium
404,"Thomas, Long and Hoffman Medical Center",4,6,2,8,4,8,4,4,6,6,10,2,10,4,2,2,6,10,595,1,Medium
405,"Dalton, George and Hodge General Hospital",8,8,4,4,10,4,10,4,8,4,2,2,6,2,8,4,6,2,590,1,High
406,Frederick PLC Medical Group,4,8,8,4,10,2,2,6,8,4,4,8,2,4,2,6,10,4,590,2,High
407,Bush Inc General Hospital,2,6,4,10,8,2,2,6,8,4,6,10,6,2,2,10,6,2,590,3,High
408,"Allen, Sanchez and Robles General Hospital",4,2,4,10,4,2,2,8,10,8,8,4,8,2,8,4,6,2,590,4,High
409,Lee-Stevens Medical Group,8,4,2,6,8,2,4,8,6,2,6,2,6,8,8,6,6,4,590,4,High
410,"Thomas, Rogers and Jordan Medical Center",4,4,4,8,6,2,4,6,2,4,6,2,4,4,8,10,10,8,590,5,High
411,"Harvey, Petersen and Sharp Medical Group",2,6,8,10,8,6,4,2,4,4,2,4,2,4,10,8,4,8,590,5,High
412,Douglas-Martin Medical Center,2,8,8,6,6,6,6,4,6,8,4,4,2,4,6,4,8,4,590,3,High
413,Mcdaniel-Wright Medical Center,8,4,6,6,4,4,2,2,6,2,6,8,6,4,10,8,4,6,590,2,High
414,Vasquez-Martin Medical Center,8,4,4,6,2,2,10,8,2,10,2,2,6,6,4,10,6,4,590,2,High
415,Wolf Hospital Group,2,2,10,4,4,6,2,10,10,8,2,6,2,6,8,6,4,4,590,4,High
416,Reeves and Sons Medical Group,2,10,2,6,2,6,6,6,8,4,8,2,4,4,10,2,4,10,585,3,Medium
417,Vaughn-Parker General Hospital,2,8,8,6,6,4,6,8,4,4,2,10,4,8,4,2,2,8,585,2,Medium
418,Dean-Hayden General Hospital,8,10,8,2,2,6,4,6,2,6,10,4,4,4,2,4,4,10,585,2,Medium
419,Yates-Waller General Hospital,4,6,4,2,4,2,4,4,10,2,4,2,10,10,8,6,4,10,585,4,Medium
420,Lopez Hospital Group,2,4,6,4,4,4,6,10,4,2,10,8,4,6,6,6,2,8,585,5,Medium
421,"Perez, Sims and Smith General Hospital",2,10,2,8,4,4,6,4,2,4,10,4,4,6,4,10,4,8,585,5,Medium
422,Baker Inc General Hospital,8,2,2,8,2,8,2,6,2,4,10,6,4,6,10,4,6,6,585,2,Medium
423,Davis-Thomas Medical Center,4,10,2,2,6,6,2,4,8,4,10,6,6,10,2,10,2,2,585,3,Medium
424,Meyer Medical Group,10,6,2,4,2,4,6,2,2,8,4,6,6,8,6,8,4,8,585,1,Medium
425,Owen-White Hospital Group,4,2,4,2,10,8,6,2,2,10,4,2,8,10,6,10,2,4,585,1,Medium
426,Galvan-Morales General Hospital,4,2,10,4,8,2,10,10,2,4,6,2,4,4,2,6,8,6,580,5,High
427,Cochran General Hospital,2,2,10,2,4,10,10,2,4,6,4,2,10,6,4,8,4,4,580,5,High
428,"Perez, Sherman and Nichols Medical Center",8,6,2,2,4,2,2,8,10,4,6,6,2,6,8,8,8,2,580,4,High
429,Jackson Medical Group,2,4,10,6,8,8,2,2,8,2,8,2,6,6,8,6,2,4,580,2,High
430,Baker Medical Center,6,4,8,8,8,6,2,2,10,2,2,4,4,6,6,6,4,6,580,1,High
431,Young-Allen General Hospital,2,10,6,4,10,6,4,2,6,2,8,2,4,2,2,10,6,8,580,3,High
432,Huang Hospital Group,4,6,2,8,6,2,6,8,8,4,6,6,6,2,4,2,6,8,580,4,High
433,"Bailey, Swanson and Tran Medical Center",4,10,10,2,10,8,2,2,2,6,2,8,4,2,6,10,4,2,580,4,High
434,"Johnson, Oconnor and Hicks Medical Center",2,2,4,6,2,2,2,10,8,10,10,2,2,6,8,6,8,4,580,1,High
435,Stevenson-Herring Medical Center,6,10,2,2,4,8,6,8,8,4,4,10,4,2,2,4,8,2,580,4,High
436,Roberts-Morgan Medical Group,8,6,2,4,2,8,2,2,10,8,6,6,10,2,6,2,8,2,580,3,High
437,Case Inc General Hospital,8,2,8,2,8,8,2,8,2,6,2,2,4,6,10,6,6,4,580,1,High
438,Hobbs-Casey Medical Group,10,6,4,2,2,8,8,6,2,4,2,2,8,4,6,8,4,8,575,1,Medium
439,Bentley PLC Medical Group,6,10,2,8,10,2,6,6,2,8,4,2,2,2,4,2,10,8,575,5,Medium
440,"Sosa, Walker and Phillips Medical Center",4,4,6,8,6,2,4,2,2,8,4,6,6,8,10,2,10,2,575,1,Medium
441,"Hogan, Moore and Stanton General Hospital",4,2,4,4,8,6,6,4,2,4,2,8,2,8,8,8,4,10,575,4,Medium
442,Molina Medical Group,10,2,6,6,2,6,8,10,2,6,6,2,6,6,2,6,2,6,575,5,Medium
443,Daugherty and Sons Medical Center,10,6,2,6,2,6,2,6,4,2,4,4,10,2,2,8,8,10,575,1,Medium
444,"Duran, Collins and Nelson Hospital Group",8,4,8,4,2,6,6,2,4,10,4,6,6,10,2,2,8,2,575,5,Medium
445,Kennedy-Collins Hospital Group,2,8,10,2,6,10,8,2,4,4,2,6,4,10,6,2,2,6,575,1,Medium
446,Vasquez PLC General Hospital,10,8,2,6,8,4,2,6,8,4,2,4,4,2,10,2,8,2,570,3,High
447,Weber-Carter Hospital Group,4,4,10,8,6,6,2,4,4,6,8,4,2,4,2,10,4,4,570,2,High
448,Ramirez-Walker Hospital Group,6,2,4,8,4,6,8,2,2,6,2,4,8,2,10,8,6,4,570,3,High
449,Pineda Medical Group,2,2,10,2,2,6,6,8,10,6,8,2,6,8,2,2,8,2,570,2,High
450,Morgan-Dixon Medical Center,8,4,4,2,10,4,6,2,2,10,4,6,6,4,8,4,2,6,565,5,Medium
451,Clark Inc Medical Group,4,6,8,2,2,4,2,4,6,10,2,4,4,8,10,6,2,8,565,4,Medium
452,Burke-Hayes Hospital Group,10,10,4,6,4,4,2,4,4,4,10,4,2,10,6,4,2,2,565,5,Medium
453,"Lambert, Barron and Riggs Hospital Group",10,8,4,8,2,6,6,6,2,2,2,10,4,2,4,4,4,8,565,5,Medium
454,"Turner, Curry and Casey Medical Center",2,4,8,8,6,10,4,2,6,8,2,8,6,10,2,2,2,2,565,3,Medium
455,Leonard and Sons General Hospital,8,4,2,2,2,6,10,2,4,2,4,8,4,10,4,2,8,10,565,2,Medium
456,"Stevens, Munoz and Miller General Hospital",6,2,6,2,2,6,6,4,2,4,4,10,6,8,6,10,6,2,565,1,Medium
457,Ramirez-Costa Hospital Group,4,2,4,2,10,4,4,4,2,10,2,2,4,8,6,10,4,10,565,4,Medium
458,Ward-Jacobs Hospital Group,8,2,6,4,8,2,8,2,8,2,2,6,6,2,2,4,10,8,560,5,High
